ID,Veg
1,0.53
2,0.04
3,0.68
4,0.06
5,0.7
6,0.95
7,0.08
8,0.77
9,0.53
10,0.19
11,0.72
12,0.31
13,0.83
14,0.46
15,0.35
16,0.42
17,0.28
18,0.29
19,0.06
20,0.76
21,0.27
22,0.24
23,0.05
24,0.84
25,0.1
26,0.41
27,0.22
28,0.96
29,0
30,0.52
31,0.93
32,0.22
33,0.48
34,0.84
35,0.65
36,0.53
37,0.4
38,0.56
39,0.2
40,0.19
41,0.47
42,0.15
43,0.44
44,0.91
45,0.42
46,0.16
47,0.5
48,0.45
49,0.69
50,0.25
51,0.69
52,0.27
53,0.47
54,0.87
55,0.79
56,0.3
57,0.23
58,0.88
59,0.58
60,0.57
61,0.53
62,0.03
63,0.98
64,0.46
65,0.81
66,0.16
67,0.84
68,0.53
69,0.85
70,0.74
71,0.69
72,0.96
73,0.2
74,0.71
75,0.55
76,0.21
77,0.23
78,0.88
79,0.92
80,0.36
81,0.38
82,0.94
83,0.79
84,0.12
85,0.22
86,0.29
87,0.71
88,0.73
89,0.39
90,0.28
91,0.22
92,0.48
93,0.67
94,0.69
95,0.74
96,0.01
97,0.35
98,0.88
99,0.57
100,0.43
101,0.63
102,0.49
103,0.76
104,0.04
105,0.95
106,0.11
107,0.96
108,0.9
109,0.3
110,0.88
111,0.95
112,0.53
113,0.63
114,0.85
115,0.69
116,0.48
117,0.67
118,0.45
119,0.17
120,0.71
121,0.67
122,0.11
123,0.24
124,0.95
125,0.36
126,0.74
127,0.8
128,0.58
129,0.25
130,0.87
131,0.12
132,0.9
133,0.1
134,0.45
135,0.41
136,0.73
137,0.98
138,0.27
139,0.48
140,0.43
141,0.55
142,0.28
143,0.2
144,0.61
145,0.57
146,0.4
147,0.02
148,0.28
149,0.41
150,0.68
151,0.5
152,0.38
153,0.41
154,0.18
155,0.75
156,0.48
157,0.42
158,0.89
159,0.19
160,0.91
161,0.32
162,0.95
163,0.34
164,0.53
165,0.36
166,0.22
167,0.63
168,0.34
169,0.9
170,0.3
171,0.12
172,0.5
173,0.63
174,0.88
175,0.64
176,0.58
177,0.58
178,0.76
179,0.15
180,0.03
181,0.59
182,0.38
183,0.54
184,0.73
185,0.4
186,0.3
187,0.47
188,0.42
189,0.21
190,0.74
191,0.11
192,0.48
193,0.39
194,0.5
195,0.46
196,0.65
197,0.84
198,0.56
199,0.75
200,0.54
201,0.49
202,0.36
203,0.57
204,0.54
205,0.23
206,0.73
207,0.79
208,0.43
209,0.05
210,0.96
211,0.01
212,0.37
213,0.01
214,0.79
215,0.11
216,0.03
217,0.93
218,0.38
219,0.06
220,0.6
221,0.57
222,0.1
223,0.26
224,0.21
225,0.35
226,0.01
227,0.1
228,0.89
229,0.84
230,0.22
231,0.59
232,0.85
233,0.81
234,0.09
235,0.94
236,0.14
237,0.49
238,0.33
239,0.73
240,0.72
241,0.89
242,0.51
243,0.87
244,0.08
245,0.1
246,0.5
247,0.58
248,0.18
249,0.25
250,0.35
251,0.77
252,0.27
253,0.06
254,0.07
255,0.66
256,0.29
257,0.02
258,0.15
259,0.83
260,0.04
261,0.89
262,0.67
263,0.38
264,0.52
265,0.36
266,0.57
267,0.03
268,0.13
269,0.55
270,0.25
271,0.51
272,0.87
273,0.3
274,0.7
275,0.41
276,0.87
277,0.78
278,0.18
279,0.83
280,0.8
281,0.79
282,0.77
283,0.13
284,0.87
285,0.28
286,0.47
287,0.83
288,0.62
289,0.61
290,0.4
291,0
292,0.33
293,0.8
294,0.6
295,0.59
296,0.35
297,0.3
298,0.56
299,0.82
